transaction_id,transaction_date,customer_segment,product_category,product_name,region,sales_channel,quantity,unit_price,discount,expense_category,expense_amount,payment_method,revenue,estimated_profit,year,month
TXN-001,2026-01-05,Small Business,Office Supplies,Notebook Pack,North,Online,10,12.5,0.05,Shipping,18.0,Card,118.75,100.75,2026,2026-01
TXN-002,2026-01-08,Enterprise,Software,Subscription Basic,West,Online,3,99.99,0.0,Platform,45.5,Bank Transfer,299.97,254.47,2026,2026-01
TXN-003,2026-01-15,Retail,Electronics,Wireless Mouse,South,In Store,7,25.0,0.1,Returns,12.4,Cash,157.5,145.1,2026,2026-01
TXN-004,2026-02-15,Small Business,Office Supplies,Printer Paper,East,Online,20,6.75,0.0,Shipping,10.0,Card,135.0,125.0,2026,2026-02
TXN-005,2026-02-21,Retail,Electronics,Usb-C Cable,North,Online,15,8.5,0.15,Marketing,9.75,Card,108.38,98.62,2026,2026-02
TXN-006,2026-03-01,Enterprise,Software,Subscription Pro,West,Online,2,199.0,0.05,Platform,60.0,Bank Transfer,378.1,318.1,2026,2026-03
TXN-007,2026-03-11,Small Business,Office Supplies,Desk Organizer,East,In Store,5,18.2,0.0,Shipping,8.25,Card,91.0,82.75,2026,2026-03
TXN-008,2026-03-20,Retail,Electronics,Keyboard,South,Online,4,45.0,0.2,Returns,14.0,Cash,144.0,130.0,2026,2026-03
TXN-009,2026-04-04,Enterprise,Software,Subscription Basic,West,Online,4,99.99,0.0,Platform,50.0,Bank Transfer,399.96,349.96,2026,2026-04
TXN-010,2026-04-12,Retail,Office Supplies,Stapler,North,In Store,9,11.0,0.05,Shipping,7.9,Card,94.05,86.15,2026,2026-04
TXN-011,2026-04-18,Small Business,Electronics,Monitor Stand,East,Online,6,34.5,0.1,Marketing,15.2,Card,186.3,171.1,2026,2026-04
TXN-012,2026-04-27,Enterprise,Software,Subscription Pro,West,Online,1,199.0,0.0,Platform,58.0,Bank Transfer,199.0,141.0,2026,2026-04
